video_id,channel,title,view_count,published_at,fetched_at,thumbnail_url
zBDilv2Bq1s,2ch馴れ初め日記帳,【2ch馴れ初め】新年会で俺にビールをぶっかけ大爆笑の新入社員→実は組長の息子である俺がブチギレた結果…【ゆっくり】,108703,2025-01-17 09:01:13+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/zBDilv2Bq1s/mqdefault.jpg
iNDhl5oEIT4,2chほっこり馴れ初め話,【2ch馴れ初め】同僚の策略で地方病院に飛ばされた俺、難病に絶望する患者を次々に救った結果…【ゆっくり】,107636,2024-12-01 07:00:31+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/iNDhl5oEIT4/mqdefault.jpg
C2DIc5butd0,2chほっこり馴れ初め話,【2ch馴れ初め】娘が家に連れてきた傷だらけの少女、離婚で奪われた俺のもう1人の娘だった結果…【ゆっくり】,106815,2025-04-08 07:00:09+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/C2DIc5butd0/mqdefault.jpg
ESZK0tlkcOs,2chほっこり馴れ初め話,【2ch馴れ初め】100円玉で妹の誕生日ケーキを買いに来た姉、内緒で特大豪華ケーキにした結果…【ゆっくり】,105696,2025-07-07 07:00:20+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/ESZK0tlkcOs/mqdefault.jpg
XbNjDUyvfts,2chほっこり馴れ初め話,【2ch馴れ初め】ハーバード大卒を隠し社長運転手の俺、急遽商談に出ると取引先美人社長の顔色が変わった結果…【ゆっくり】,103626,2024-11-29 07:00:26+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/XbNjDUyvfts/mqdefault.jpg
yf1dtQcjKEo,2ch馴れ初め日記帳,【2ch馴れ初め】卒業式で名前をワザと読み飛ばす担任→卒業生代表挨拶をする俺が反撃した結果…【ゆっくり】,103285,2025-03-11 09:01:11+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/yf1dtQcjKEo/mqdefault.jpg
Fae0a-yFkXY,2ch馴れ初め日記帳,【2ch馴れ初め】火事で逃げ遅れた少女を助けクビになった俺→助けた少女は商談先社長の孫娘だった結果…【ゆっくり】,101352,2024-12-27 09:00:24+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/Fae0a-yFkXY/mqdefault.jpg
Qy6AaILrT6k,2chほっこり馴れ初め話,【2ch馴れ初め】弟夫婦に連れ子だからと育児◯棄された幼い姉妹、不妊で離婚した俺が引き取った結果…【ゆっくり】,100550,2025-05-28 07:00:21+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/Qy6AaILrT6k/mqdefault.jpg
LHwYhDJnjl0,2ch馴れ初め日記帳,【2ch馴れ初め】前職で俺を解雇にした元上司が入社→俺はアンタの上司だと伝えた結果…【ゆっくり】,99867,2025-05-25 09:00:23+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/LHwYhDJnjl0/mqdefault.jpg
RmeAOgV3S3I,2chほっこり馴れ初め話,【2ch馴れ初め】数合わせで合コンに呼ばれた清掃員の俺、現れた外国人社長令嬢が抱きついてきた結果…【ゆっくり】,99707,2025-04-01 07:00:17+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/RmeAOgV3S3I/mqdefault.jpg
7sYWeDb20nI,2ch馴れ初め日記帳,【2ch馴れ初め】社内で孤立しているデブ陰キャ外国人女性→毎日ランチ誘い続けるとまさかの展開に‥【ゆっくり】,99677,2025-11-13 09:00:19+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/7sYWeDb20nI/mqdefault.jpg
Ev-WHlwmtsI,2chほっこり馴れ初め話,【2ch馴れ初め】車椅子の受験生姉を必死に起こそうとする妹、放っておけず会場まで送り届けた結果…【ゆっくり】,98669,2025-09-09 07:00:12+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/Ev-WHlwmtsI/mqdefault.jpg
WGByLMtTQ0M,2ch馴れ初めクエスト,【2ch馴れ初め】毎日雪かきを手伝ってくれた隣の双子姉妹、こっそり入学祝のランドセルを用意した結果【ゆっくり動画】,98087,2025-02-09 08:00:33+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/WGByLMtTQ0M/mqdefault.jpg
yz6iNwjKaj8,2chほっこり馴れ初め話,【2ch馴れ初め】親戚にたらい回しにされる器用な天才少女、生計ギリギリの酪農家の俺が引き取った結果…【ゆっくり】,97264,2025-04-13 07:00:52+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/yz6iNwjKaj8/mqdefault.jpg
0XraLzxFJ1A,2chほっこり馴れ初め話,【2ch馴れ初め】川に落ちた娘を助けてくれた片目の少女、眼科医の俺が手術で光を取り戻した結果…【ゆっくり】,97142,2025-07-18 07:00:02+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/0XraLzxFJ1A/mqdefault.jpg
PTTP_R0mFuc,2ch馴れ初めクエスト,【2ch馴れ初め】身元不明の双子を預かり仕事が回らなくなった俺、幼馴染に助けてもらうことになった結果【ゆっくり動画】,96034,2024-06-09 08:00:13+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/PTTP_R0mFuc/mqdefault.jpg
epgWcbpjXEI,2chほっこり馴れ初め話,【2ch馴れ初め】大寒波の夜、軒下でうずくまる貧乏少女、不審に思い看護師の母と俺が家に招いた結果…【ゆっくり】,94915,2024-11-15 07:00:22+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/epgWcbpjXEI/mqdefault.jpg
dl7wReaPJIo,2chほっこり馴れ初め話,【2ch馴れ初め】母の為に飲まず食わずの生活保護の少女、給料日の焼肉パーティーに誘った結果…【ゆっくり】,93386,2025-01-06 07:00:32+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/dl7wReaPJIo/mqdefault.jpg
7Zx5s4AGWNQ,2ch馴れ初め日記帳,【2ch馴れ初め】亡き姉の双子娘を育てる俺が海で遊ぶ姿を、苦手なギャル社員に見られた結果…【ゆっくり】,91872,2025-08-26 09:00:09+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/7Zx5s4AGWNQ/mqdefault.jpg
XeP1hUb_tQo,2ch馴れ初め日記帳,【2ch馴れ初め】上司にハメられ閉鎖間際の田舎支店に左遷された俺→天才エンジニアの俺が支店の危機を救った結果…【ゆっくり】,91537,2025-09-20 09:00:50+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/XeP1hUb_tQo/mqdefault.jpg
aeO-9UglHEM,2ch馴れ初めクエスト,【2ch馴れ初め】こっそり社員旅行に付いてきた年の離れた妹、天敵のギャル同僚が神対応してくれた結果【ゆっくり動画】,90956,2025-09-23 08:00:04+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/aeO-9UglHEM/mqdefault.jpg
Du4Lu41jE9Y,2ch馴れ初め日記帳,【2ch馴れ初め】海外から視察に来たCEOに媚びを売る部長→窓際社員の俺が声を掛けられた結果…【ゆっくり】,90655,2024-12-19 09:00:12+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/Du4Lu41jE9Y/mqdefault.jpg
k7_674WWtoU,2chほっこり馴れ初め話,【2ch馴れ初め】ハッカーに攻撃され深夜に子連れ出勤した女社長、無能清掃員で元天才ハッカーの俺が本気出した結果…【ゆっくり】,90608,2025-10-09 07:00:46+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/k7_674WWtoU/mqdefault.jpg
epCmBzPucto,2ch馴れ初め日記帳,【2ch馴れ初め】突然BARにヤクザが乱入し大ピンチの涙目女性→常連客の俺が本性を現した結果…【ゆっくり】,90535,2024-11-30 09:00:42+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/epCmBzPucto/mqdefault.jpg
2Sr4RPOv3Ac,2ch馴れ初め日記帳,【2ch馴れ初め】日本唯一の技術を持つ大工の俺が突然クビ宣告→笑いを堪え速攻で独立した結果…【ゆっくり】,89469,2025-01-07 09:00:05+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/2Sr4RPOv3Ac/mqdefault.jpg
2nJffZr2g34,2chほっこり馴れ初め話,【2ch馴れ初め】時代遅れと二代目に追い出された熟練職人達、人手不足の俺の工場で全員雇った結果…【ゆっくり】,89447,2025-09-29 07:00:03+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/2nJffZr2g34/mqdefault.jpg
VEMGXipUVZ0,2ch馴れ初め日記帳,【2ch馴れ初め】懇親会で下請けと勘違いされ取引先部長にグーパンされた俺→お望み通り日本から撤退した結果…【ゆっくり】,88599,2025-12-06 09:01:01+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/VEMGXipUVZ0/mqdefault.jpg
xp9OnlcuqXw,2chほっこり馴れ初め話,【2ch馴れ初め】宿泊客が遺した身寄りのない双子姉妹、女将の母が「うちの子よ！」と言い出した結果…【ゆっくり】,87973,2025-02-06 07:00:38+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/xp9OnlcuqXw/mqdefault.jpg
6boQ-4AGmEM,2ch馴れ初め日記帳,【2ch馴れ初め】父が急逝し新社長になった俺に解除通知で脅す元請 →笑いを堪えて全社分即契約終了した結果…【ゆっくり】,87901,2025-10-08 09:00:18+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/6boQ-4AGmEM/mqdefault.jpg
3HZkSG3PtBM,2ch馴れ初め日記帳,【2ch馴れ初め】社員旅行当日、置き去りにされた美人社員がポツン→社員食堂で働く俺がブチギレた結果…【ゆっくり】,87458,2025-12-04 09:00:07+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/3HZkSG3PtBM/mqdefault.jpg
cW_Sve3N0yk,2chほっこり馴れ初め話,【2ch馴れ初め】記録的猛暑日にSAに放置された青あざ少女、トラック野郎の俺がジュースを渡した結果…【ゆっくり】,87219,2025-08-08 07:00:42+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/cW_Sve3N0yk/mqdefault.jpg
LqhXy6hfSY8,2ch馴れ初め日記帳,【2ch馴れ初め】社員食堂を利用する俺に罵声を浴びせる部長→俺の正体を知ると部長が顔面蒼白になった結果…【ゆっくり】,84569,2025-03-25 09:00:32+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/LqhXy6hfSY8/mqdefault.jpg
ifnHDg1i3bs,2ch馴れ初め日記帳,【2ch馴れ初め】ひき逃げに遭い入院中の俺に上司から鬼電→仕方がないので全身包帯のまま出社した結果…【ゆっくり】,84412,2025-04-04 09:00:55+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/ifnHDg1i3bs/mqdefault.jpg
ka-A3gwl1X8,2ch馴れ初め日記帳,【2ch馴れ初め】人助けをして最終面接に遅刻し不採用を覚悟した俺→面接中に突然俺の膝に猫が乗ってきた結果…【ゆっくり】,84319,2025-01-27 09:00:54+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/ka-A3gwl1X8/mqdefault.jpg
ahtHh-UpF5Y,2chほっこり馴れ初め話,【2ch馴れ初め】親友に裏切られホームレスになった俺、公園でこっそり泣く不良少女に勉強を教えた結果…【ゆっくり】,82771,2025-11-06 07:00:03+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/ahtHh-UpF5Y/mqdefault.jpg
2layHk0wgLM,2ch馴れ初めクエスト,【2ch馴れ初め】美女の高級車の欠陥を見抜いた発達障害の娘、俺たち貧乏整備士家族の人生が変わった結果【ゆっくり動画】,82360,2025-12-11 08:00:07+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/2layHk0wgLM/mqdefault.jpg
YwYWfBYEWJY,2ch馴れ初め日記帳,【2ch馴れ初め】母から継いだ弁当屋に100人分発注した元同僚→望み通りお弁当の配達をやめた結果…【ゆっくり】,81983,2025-02-02 09:00:38+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/YwYWfBYEWJY/mqdefault.jpg
_crpo9gMT1I,2ch馴れ初めクエスト,【2ch馴れ初め】こっそり俺の会社についてきた幼い姉妹、無愛想受付嬢が神対応してくれた結果【ゆっくり動画】,81736,2025-08-29 08:00:44+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/_crpo9gMT1I/mqdefault.jpg
dHovrR_efSE,2chほっこり馴れ初め話,【2ch馴れ初め】両親を亡くし親戚にたらい回しにされる3姉妹、資産100億で泥だらけの作業着の俺が引き取った結果…【ゆっくり】,80618,2025-09-15 07:00:29+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/dHovrR_efSE/mqdefault.jpg
Ta5MZppfOyE,2chほっこり馴れ初め話,【2ch馴れ初め】上司にハメられ廃業間近の孫請け会社に左遷された俺、システムを一新し倒産の危機を救った結果…【ゆっくり】,80273,2026-01-03 07:00:25+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/Ta5MZppfOyE/mqdefault.jpg
cW8a6_B-cJU,2chほっこり馴れ初め話,【2ch馴れ初め】人手不足の現場に来た赤ちゃんを抱えた女職人、正体に気がついた俺が即採用した結果…【ゆっくり】,80261,2025-09-24 07:00:40+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/cW8a6_B-cJU/mqdefault.jpg
_3nJU8v7PUk,2ch馴れ初め日記帳,【2ch馴れ初め】実家の旅館を継ぐ俺が全室キャンセルされ廃業寸前→遭難した客が事実を知りブチギレた結果…【ゆっくり】,79141,2025-05-03 09:00:57+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/_3nJU8v7PUk/mqdefault.jpg
sTYResUJEB0,2chほっこり馴れ初め話,【2ch馴れ初め】手作り豆腐を移動販売する借金まみれの母娘、老舗旅館板前の俺が大量契約した結果…【ゆっくり】,79103,2025-05-22 07:00:48+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/sTYResUJEB0/mqdefault.jpg
aS85VRi5-20,2ch馴れ初め日記帳,【2ch馴れ初め】下請と勘違いし俺の名刺を破り捨てる取引先エリート部長→大口取引先である俺が喜んで契約終了した結果 …【ゆっくり】,78511,2025-02-13 09:00:03+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/aS85VRi5-20/mqdefault.jpg
AeVFzCrekdY,2ch馴れ初めクエスト,【2ch馴れ初め】キャンプ場で俺の寝袋に侵入してきた少女、迷子だったので1晩面倒を見てあげた結果【ゆっくり動画】,77931,2024-07-10 08:00:08+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/AeVFzCrekdY/mqdefault.jpg
ysNqH2Gi38Q,2chほっこり馴れ初め話,【2ch馴れ初め】格安釣り船の船長に気に入られた無職の俺、壊れかけの釣り船と超地味娘をもらった結果…【ゆっくり】,77382,2025-11-01 07:01:05+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/ysNqH2Gi38Q/mqdefault.jpg
KqGWccBhAHY,2ch馴れ初め日記帳,【2ch馴れ初め】プロポーズの為に高級レストランを予約した俺→伝票を渡され衝撃の事実が…【ゆっくり】,76934,2025-02-23 09:00:22+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/KqGWccBhAHY/mqdefault.jpg
ajP0n3eEeTk,2ch馴れ初め日記帳,【2ch馴れ初め】内定式100人の前で見下され辞退した俺→後日、内定先からの鬼電を放置した結果…【ゆっくり】,76926,2025-03-26 09:00:05+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/ajP0n3eEeTk/mqdefault.jpg
5_ans5Q98v8,2ch馴れ初め日記帳,【2ch馴れ初め】義妹の結婚式に行くとウエディングドレス姿の義妹がポツン→地元の50社を束ねるホールディングス社長である兄の俺がブチギレた結果…【ゆっくり】,76244,2025-09-14 09:00:09+00:00,2026-04-07 16:53:52,https://i.ytimg.com/vi/5_ans5Q98v8/mqdefault.jpg
